TS,샴푸,TS 비오틴 샴푸 500ml,500,69000,,글리세린 부틸렌글라이콜 판테놀,탈모건성,,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/1306003135878714-67745f54-810f-40bf-b977-c6010a95b58f.jpg
TS,샴푸,TS 트러스트 TS 샴푸 500ml,500,20580,녹차추출물 알란토인,글리세린 프로필렌글라이콜 부틸렌글라이콜 판테놀,탈모민감성,수렴 및 진정비듬 제거,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/327026913809024-ba210dfd-d30c-4c63-b02c-3e55b4322d2e.jpg
TS,샴푸,TS 프리미엄 TS 샴푸 500ml,500,25390,,쉐어버터 글리세린,민감성,,보습력 증가,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/7963332967896567-61ac680a-b1a4-4e60-b392-297b3e075bd7.png
TS,샴푸,TS 내추럴 프리미엄 TS 샴푸 500ml,500,32190,살리실산,판테놀,탈모,피지 조절,컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/rs_quotation_api/mwxzs5lj/0e46537d130d402e839516987d1c1c54.jpg
TS,샴푸,TS 내추럴 올뉴 TS 샴푸 500ml,500,31490,살리실산 녹차추출물 멘톨,글리세린 프로필렌글라이콜 부틸렌글라이콜 판테놀,지성쿨링효과탈모민감성,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/rs_quotation_api/mwxzs5lj/0e46537d130d402e839516987d1c1c54.jpg
TS,샴푸,TS 뉴TS 쿨샴푸 500ml,500,25860,살리실산 녹차추출물 멘톨,글리세린 부틸렌글라이콜 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/1306003135878714-67745f54-810f-40bf-b977-c6010a95b58f.jpg
모다모다,샴푸,모다모다 프로체인지 블랙샴푸 300g,300,25430,살리실산 녹차추출물,글리세린 부틸렌글라이콜 판테놀,지성탈모약산성,피지 조절수렴 및 진정비듬 제거,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/b10e/40c8302676ad7ae4e1a74ed2802f7219595e289d4f6d855260cca1f26fbe.jpg
아모스,샴푸,아모스 수렴 및 진정비듬 제거실감 샴푸액 지성타입 500ml,500,12410,살리실산 멘톨,부틸렌글라이콜 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정쿨링 효과,강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/ca52/4049f51a98bd69662784da9269f219ee28dd802eb14ff80f0cd0d3c62d44.jpg
아모스,샴푸,아모스 수렴 및 진정비듬 제거실감 샴푸액 중건성타입 500ml,500,13220,살리실산 멘톨,판테놀,건성탈모,피지 조절수렴 및 진정쿨링 효과,컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/ca52/4049f51a98bd69662784da9269f219ee28dd802eb14ff80f0cd0d3c62d44.jpg
아모스,샴푸,아모스 수렴 및 진정비듬 제거실감 샴푸액 민감성타입 500ml,500,13990,살리실산 녹차수 녹차추출물 멘톨,글리세린 부틸렌글라이콜 판테놀,쿨링효과탈모민감성,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/ca52/4049f51a98bd69662784da9269f219ee28dd802eb14ff80f0cd0d3c62d44.jpg
